from,to,variable_cost,capacity,fixed_cost,x6,x7
14,17,4,272,3740,1,152
14,16,3,885,3690,1,157
14,7,6,520,4089,1,205
15,7,3,486,848,1,17
15,20,8,414,4488,1,39
15,5,3,838,4089,1,49
15,2,4,669,1496,1,78
15,3,7,583,1696,1,83
15,12,7,244,1496,1,123
15,8,1,272,2543,1,136
15,6,3,498,2144,1,170
15,13,4,885,4587,1,186
15,10,7,371,2443,1,219
15,9,5,501,4039,1,226
16,2,8,228,2194,1,13
16,9,3,857,1945,1,24
16,10,1,336,1646,1,28
16,7,9,345,3391,1,35
16,3,6,377,3989,1,88
16,19,6,529,1646,1,106
16,12,8,535,4837,1,176
16,6,6,369,649,1,185
16,13,7,605,898,1,201
16,8,7,779,2842,1,216
17,2,4,654,2443,1,4
17,8,1,740,2394,1,6
17,7,7,881,2992,1,8
17,15,7,367,499,1,21
17,11,1,540,2294,1,34
17,10,6,740,1546,1,50
17,6,3,814,798,1,79
17,12,8,228,2743,1,131
17,3,5,820,798,1,139
17,19,1,758,3889,1,140
17,1,7,218,998,1,156
17,16,3,911,1047,1,188
17,4,6,516,1396,1,206
17,18,9,438,4886,1,228
18,2,3,323,948,1,14
18,6,8,187,3092,1,31
18,1,2,209,4188,1,42
18,5,1,810,1845,1,53
18,17,3,671,3042,1,161
18,4,3,488,4039,1,181
18,8,7,799,3989,1,189
18,16,7,473,1297,1,194
18,14,6,615,4438,1,208
19,4,5,888,4637,1,9
19,8,6,354,3989,1,12
19,5,3,319,4039,1,51
19,3,2,756,1247,1,54
19,17,1,911,4886,1,55
19,14,3,397,3640,1,58
19,6,3,330,3191,1,92
19,11,3,879,499,1,113
19,18,3,492,3989,1,118
19,2,5,341,4936,1,125
19,20,9,391,898,1,154
19,13,3,202,3740,1,180
19,10,8,445,1297,1,191
19,7,6,479,1297,1,200
19,12,8,317,948,1,224
19,9,1,315,2344,1,227
20,15,7,382,1945,1,15
20,18,9,561,2144,1,38
20,9,6,369,4188,1,45
20,17,5,192,3441,1,60
20,2,7,215,2144,1,66
20,13,5,237,2792,1,81
20,16,2,583,3092,1,100
20,19,4,877,3241,1,137
20,5,8,738,1197,1,142
20,3,2,619,1845,1,168
20,6,5,308,4139,1,183
20,12,5,334,3790,1,192
20,8,9,285,4886,1,193
20,11,5,604,2593,1,198
20,7,4,862,599,1,209
