from,to,variable_cost,capacity,fixed_cost,x6,x7
6,9,6,415,292,1,358
6,10,6,203,231,1,369
6,20,6,282,923,1,373
6,2,7,384,134,1,379
6,29,1,288,959,1,404
6,24,6,439,267,1,425
6,23,8,514,741,1,455
6,21,2,348,449,1,491
6,16,1,415,280,1,518
7,20,1,372,546,1,20
7,24,7,491,207,1,67
7,28,2,327,838,1,132
7,8,1,205,158,1,158
7,2,3,379,935,1,170
7,22,3,184,619,1,173
7,30,2,538,813,1,176
7,6,3,582,631,1,228
7,14,2,391,170,1,258
7,27,8,234,316,1,264
7,4,4,243,328,1,266
7,5,5,587,656,1,345
7,16,1,304,704,1,355
7,29,9,385,510,1,363
7,15,7,410,546,1,366
7,23,2,392,619,1,382
7,25,9,341,680,1,403
7,26,2,467,753,1,437
7,3,7,215,219,1,454
7,1,2,510,546,1,466
8,7,1,257,789,1,15
8,28,6,468,583,1,21
8,20,9,149,583,1,37
8,13,9,288,292,1,89
8,14,6,422,607,1,97
8,15,7,363,195,1,156
8,10,5,494,170,1,174
8,5,7,292,437,1,204
8,21,3,406,1153,1,207
8,30,9,488,182,1,243
8,27,7,580,292,1,282
8,17,1,136,619,1,336
8,22,9,262,413,1,356
8,4,8,279,474,1,365
8,9,8,351,534,1,383
8,18,9,419,631,1,398
8,6,8,231,377,1,452
8,3,3,497,704,1,460
8,16,7,303,267,1,477
8,29,6,280,971,1,480
9,11,1,574,838,1,5
9,7,3,355,559,1,28
9,3,2,442,886,1,33
9,18,4,265,959,1,59
9,14,6,488,813,1,202
9,10,5,547,1068,1,268
9,29,2,140,1165,1,317
9,22,6,545,777,1,468
9,1,5,359,389,1,505
10,5,7,414,583,1,36
10,14,6,347,486,1,74
10,21,9,478,1007,1,92
10,28,6,342,352,1,113
10,2,8,448,413,1,178
10,11,4,318,182,1,215
10,4,8,498,352,1,244
10,29,8,210,935,1,288
10,25,5,353,207,1,293
10,7,5,443,959,1,318
10,8,7,557,704,1,374
10,6,5,381,122,1,381
10,15,8,146,486,1,391
10,13,1,184,437,1,396
10,24,6,443,122,1,439
10,3,4,551,1117,1,442
10,30,9,330,546,1,501
11,3,1,472,559,1,26
11,6,3,463,122,1,47
11,7,3,410,1177,1,50
11,4,9,275,656,1,64
11,15,6,170,656,1,117
11,22,2,557,571,1,203
11,18,6,538,364,1,224
11,23,9,235,231,1,351
11,14,4,522,449,1,378
11,26,2,534,401,1,388
11,13,6,215,1117,1,409
11,10,3,508,231,1,422
11,29,1,464,765,1,448
11,1,9,413,474,1,461
11,12,1,226,959,1,515
12,20,4,419,825,1,16
12,22,7,196,728,1,40
12,7,4,366,656,1,62
12,13,3,197,389,1,69
12,28,9,373,850,1,90
12,23,9,433,765,1,129
12,25,3,135,146,1,187
12,10,7,576,462,1,191
12,4,4,377,413,1,229
12,5,2,331,656,1,231
12,26,2,132,813,1,254
12,15,5,271,1080,1,283
12,17,8,451,328,1,285
12,2,2,205,158,1,311
12,11,6,211,546,1,322
12,19,5,349,413,1,337
12,30,7,354,656,1,346
12,29,4,168,316,1,408
12,18,4,348,352,1,420
12,16,5,346,170,1,497
13,23,1,468,741,1,4
13,18,2,251,134,1,11
13,10,9,137,522,1,79
13,2,8,400,340,1,80
13,20,3,364,534,1,148
13,22,5,124,1129,1,171
13,6,9,400,777,1,192
13,17,9,470,243,1,196
13,21,9,257,643,1,230
13,1,4,462,462,1,239
13,4,2,285,838,1,259
13,16,7,188,158,1,262
13,27,2,508,182,1,302
13,25,7,246,134,1,312
13,3,6,192,1129,1,319
13,7,2,239,838,1,332
13,19,2,273,534,1,343
13,12,5,261,765,1,478
13,11,9,346,971,1,483
13,9,8,191,377,1,492
14,22,2,304,280,1,23
14,8,9,569,1104,1,94
14,5,7,588,462,1,147
14,23,1,552,122,1,206
14,1,2,458,437,1,208
14,24,5,138,1092,1,214
14,28,7,593,947,1,222
14,30,8,210,559,1,236
14,25,1,473,825,1,269
14,19,1,529,595,1,290
14,26,6,180,1044,1,400
14,13,6,233,498,1,450
14,9,4,234,207,1,486
14,4,6,415,546,1,494
15,7,8,478,534,1,57
15,22,5,426,510,1,60
15,21,6,548,983,1,77
15,1,7,468,328,1,85
15,6,1,263,1141,1,87
15,11,2,388,741,1,151
15,12,2,468,668,1,195
15,14,2,559,449,1,205
15,10,9,480,898,1,267
15,2,8,147,1032,1,315
15,24,4,404,643,1,359
15,19,6,443,449,1,475
15,3,1,213,1032,1,481
16,18,5,120,874,1,24
16,17,4,570,777,1,38
16,24,4,494,898,1,104
16,28,1,235,656,1,125
16,29,6,375,1153,1,130
16,21,5,261,255,1,134
16,23,8,582,801,1,144
16,9,8,379,1189,1,153
16,12,9,347,304,1,200
16,27,5,466,304,1,212
16,19,6,384,1153,1,220
16,10,8,474,583,1,247
16,15,9,203,255,1,255
16,6,9,331,583,1,265
16,5,5,520,122,1,272
16,7,4,454,995,1,377
16,8,2,234,631,1,393
16,26,8,499,462,1,417
16,14,4,297,995,1,446
17,9,7,553,631,1,65
17,22,2,377,971,1,91
17,24,1,207,340,1,110
17,29,3,130,328,1,124
17,21,5,307,1202,1,210
17,30,4,137,255,1,263
17,10,8,551,146,1,281
17,6,2,421,1032,1,297
17,2,3,148,716,1,298
17,1,1,565,716,1,331
17,27,6,528,207,1,445
17,5,1,527,364,1,463
17,25,7,438,935,1,485
17,16,6,199,462,1,498
17,13,8,268,643,1,503
18,2,5,360,243,1,3
18,22,8,120,437,1,9
18,1,7,464,134,1,98
18,9,9,357,777,1,109
18,30,1,371,886,1,172
18,21,8,367,474,1,182
18,16,9,288,1007,1,217
18,19,2,171,534,1,376
18,12,8,293,1104,1,386
18,24,5,150,534,1,435
18,6,7,198,1177,1,441
18,15,4,438,546,1,474
18,3,5,297,595,1,513
19,4,9,451,643,1,10
19,22,4,208,947,1,46
19,24,9,164,1032,1,71
19,9,2,126,825,1,93
19,14,5,456,389,1,95
19,3,2,241,838,1,118
19,28,3,245,850,1,167
19,10,2,565,255,1,225
19,8,9,512,825,1,308
19,29,4,494,1202,1,340
19,7,1,538,243,1,372
19,25,2,191,898,1,429
19,12,5,410,462,1,438
19,26,1,282,498,1,487
19,18,4,162,364,1,499
20,26,5,394,716,1,7
20,4,5,510,146,1,19
20,8,5,264,377,1,30
20,10,2,336,571,1,54
20,29,2,474,486,1,70
20,15,8,316,1104,1,99
20,21,4,202,1032,1,111
20,6,7,506,583,1,138
20,30,5,171,910,1,185
20,5,8,509,874,1,238
20,2,3,219,316,1,277
20,24,4,190,583,1,278
20,9,4,138,449,1,279
20,13,8,473,267,1,314
20,28,5,390,668,1,385
20,18,2,580,304,1,387
20,23,8,458,935,1,427
20,7,7,590,534,1,459
20,14,4,518,643,1,490
21,19,1,419,498,1,29
21,15,4,140,862,1,127
21,7,7,274,328,1,154
21,28,3,323,862,1,193
21,20,6,279,267,1,232
21,1,4,419,413,1,252
21,3,6,472,316,1,287
21,2,6,577,474,1,310
21,30,2,251,692,1,334
21,24,2,388,1007,1,349
21,25,7,166,777,1,443
21,10,7,442,947,1,453
21,18,4,526,413,1,456
21,26,5,234,777,1,512
22,26,4,199,692,1,18
22,15,7,343,753,1,51
22,19,1,324,546,1,58
22,30,9,333,1104,1,96
22,6,3,180,340,1,146
22,17,7,371,1177,1,161
22,18,5,558,522,1,175
22,3,3,588,595,1,194
22,11,2,391,377,1,249
22,28,4,343,134,1,256
22,25,8,325,898,1,271
22,1,9,440,231,1,286
22,29,1,122,1189,1,295
22,12,4,552,619,1,304
22,8,9,470,789,1,327
22,20,4,280,474,1,328
22,14,3,231,158,1,333
22,7,6,485,983,1,364
22,13,3,381,825,1,371
22,9,2,505,243,1,375
22,24,2,161,195,1,390
22,5,6,510,1020,1,500
23,28,4,553,959,1,41
23,13,5,358,425,1,44
23,14,6,328,389,1,45
23,3,8,173,1165,1,68
23,7,9,542,1056,1,86
23,10,5,304,886,1,107
23,5,6,522,704,1,131
23,17,9,384,825,1,140
23,27,9,545,389,1,163
23,25,3,282,801,1,168
23,4,7,490,1020,1,223
23,18,8,273,510,1,284
23,26,6,538,862,1,300
23,6,4,387,923,1,347
23,22,5,289,474,1,380
23,19,8,231,1104,1,421
23,20,4,451,134,1,424
23,24,9,565,1080,1,447
23,30,1,463,959,1,470
23,9,9,240,158,1,479
24,30,1,324,1141,1,72
24,3,7,323,1153,1,114
24,8,8,381,741,1,126
24,13,7,208,643,1,139
24,16,4,140,813,1,177
24,29,3,544,619,1,181
24,6,1,414,583,1,233
24,10,8,599,971,1,257
24,5,7,333,158,1,275
24,2,4,521,195,1,294
24,14,1,396,716,1,307
24,23,5,313,413,1,313
24,18,3,404,389,1,344
24,7,4,312,862,1,389
24,28,7,258,280,1,414
24,4,9,299,462,1,467
24,11,4,342,862,1,488
24,17,2,371,862,1,502
25,14,7,443,352,1,1
25,9,8,306,971,1,32
25,12,6,462,825,1,52
25,13,7,208,413,1,56
25,21,2,273,352,1,106
25,1,2,577,1032,1,115
25,5,7,319,607,1,119
25,22,3,409,1044,1,133
25,16,5,208,486,1,135
25,28,8,217,1153,1,169
25,19,3,408,231,1,184
25,8,5,138,947,1,188
25,26,1,588,898,1,213
25,29,2,454,1141,1,246
25,6,5,340,1141,1,320
25,3,7,335,1177,1,384
25,2,6,164,195,1,451
25,10,9,289,377,1,489
26,16,4,463,425,1,8
26,2,9,246,267,1,25
26,30,9,223,304,1,102
26,20,9,468,255,1,150
26,23,8,571,971,1,162
26,28,2,486,886,1,253
26,18,5,493,874,1,370
26,22,9,161,1165,1,394
26,13,9,476,753,1,413
26,29,7,468,462,1,433
26,9,4,183,692,1,440
26,17,9,318,1104,1,511
26,11,1,184,243,1,517
27,23,7,388,741,1,42
27,1,8,510,923,1,49
27,12,6,282,534,1,73
27,5,6,367,158,1,116
27,30,7,379,377,1,128
27,4,9,257,389,1,165
27,15,5,170,923,1,166
27,28,4,394,546,1,211
27,13,8,315,935,1,251
27,14,5,234,146,1,280
27,16,5,530,910,1,291
27,9,3,577,1056,1,330
27,11,3,185,207,1,368
27,2,5,587,474,1,395
27,17,1,226,947,1,410
27,19,3,533,643,1,426
27,29,3,473,813,1,449
27,3,7,309,158,1,493
27,21,6,347,995,1,504
27,7,6,413,413,1,509
27,20,9,358,716,1,510
27,22,5,214,510,1,514
28,23,1,256,292,1,27
28,19,8,557,1068,1,76
28,14,2,327,486,1,101
28,24,5,490,340,1,120
28,2,7,597,692,1,137
28,8,4,545,389,1,143
28,4,6,205,1165,1,190
28,16,9,281,328,1,216
28,26,3,294,704,1,218
28,1,8,585,219,1,309
28,21,4,331,449,1,341
28,9,3,538,243,1,348
28,15,4,208,959,1,350
28,6,2,354,486,1,392
28,12,5,245,462,1,418
28,13,2,551,886,1,462
28,25,7,311,1165,1,476
28,7,2,400,1177,1,496
29,21,4,279,1044,1,6
29,12,7,168,643,1,75
29,23,4,147,219,1,83
29,17,9,289,292,1,88
29,24,2,416,910,1,108
29,11,4,564,631,1,122
29,19,8,295,898,1,123
29,16,8,484,704,1,149
29,25,6,396,1153,1,234
29,26,9,475,134,1,240
29,5,4,428,571,1,270
29,28,7,159,1141,1,274
29,20,1,198,753,1,276
29,14,7,185,1020,1,335
29,27,6,292,631,1,342
29,6,7,182,559,1,353
29,8,8,194,1007,1,411
29,22,6,164,643,1,412
29,9,1,563,413,1,423
29,30,4,408,498,1,484
29,15,5,502,1092,1,495
30,21,8,584,364,1,17
30,15,6,401,838,1,34
30,13,8,307,995,1,35
30,27,1,403,680,1,53
30,1,5,392,401,1,55
30,4,4,541,1032,1,82
30,7,9,210,510,1,152
30,10,2,437,1007,1,186
30,9,5,251,1177,1,250
30,20,1,414,656,1,260
30,29,2,397,207,1,301
30,8,6,156,364,1,316
30,25,6,360,1202,1,324
30,26,6,480,1202,1,325
30,22,4,463,498,1,360
30,5,4,286,716,1,367
30,18,6,570,680,1,406
30,2,2,387,571,1,444
30,17,4,288,983,1,457
30,14,7,430,923,1,464
30,19,1,148,910,1,471
