solver,problem,instance,gridno,cost,dualbound-0.0001,primalbound-0.0001,gap-0.0001,nit-0.0001,npieces-0.0001,cpu-0.0001
naive,knapsack,knapsack-20-3,122,cubic,-836.8660412155574,-836.8658707558798,2.0368816986114247e-5,1,19060,526.6549667410001
naive,knapsack,knapsack-20-3,123,sinabc1,-821.6393738810891,-821.6387901005077,7.10507571556351e-5,1,23460,86.18660709000001
naive,knapsack,knapsack-20-3,124,sinabc2,-822.7617957130548,-822.7609526671711,0.00010246547079870454,1,33300,107.62969006200001
naive,knapsack,knapsack-20-3,125,sinabc3,-867.8731772508144,-867.8724369940554,8.529557195169337e-5,1,59760,217.480440969
naive,knapsack,knapsack-20-3,127,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-3,128,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-3,129,square,-808.0631754225781,-808.0622942320659,0.00010904982430462375,1,18720,55.295462578000006
naive,knapsack,knapsack-10-2,13,sinabc1,-286.556233303998,-286.55610156280625,4.5973961480040064e-5,1,11730,35.840554173
naive,knapsack,knapsack-20-3,130,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-4,131,exp,-1115.2490289034931,-1115.2483767025615,5.8480330057276726e-5,1,17020,92.90468565600001
naive,knapsack,knapsack-20-4,132,cubic,-549.2020163982385,-549.2018817645837,2.451441978056572e-5,1,19060,572.767918355
naive,knapsack,knapsack-20-4,133,sinabc1,-536.6725049290717,-536.6722412678907,4.912890227547674e-5,1,23460,85.20894076600001
naive,knapsack,knapsack-20-4,134,sinabc2,-535.0405277125728,-535.0399751837807,0.00010326869350977313,1,33300,119.946739686
naive,knapsack,knapsack-20-4,135,sinabc3,-555.5430352941723,-555.5424056841182,0.00011333249230044019,1,59760,247.050368077
naive,knapsack,knapsack-20-4,137,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-4,138,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-4,139,square,-535.0840554890034,-535.0834891713464,0.00010583725127955115,1,18720,64.38373371600001
naive,knapsack,knapsack-10-2,14,sinabc2,-286.18756769051583,-286.18726687586883,0.00010511112191991055,1,16650,88.544233659
naive,knapsack,knapsack-20-4,140,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-5,141,exp,-1782.583676568881,-1782.5826606562928,5.699105071507696e-5,1,17020,90.93854356
naive,knapsack,knapsack-20-5,142,cubic,-853.2376726725976,-853.2374915696374,2.1225387061710886e-5,1,19060,515.886601328
naive,knapsack,knapsack-20-5,143,sinabc1,-840.2272491193189,-840.226711298432,6.400902039051018e-5,1,23460,69.778481986
naive,knapsack,knapsack-20-5,144,sinabc2,-828.1218584206656,-828.1210022017552,0.00010339297132845242,1,33300,117.820917518
naive,knapsack,knapsack-20-5,145,sinabc3,-875.8228662666583,-875.8221338428604,8.362700251539709e-5,1,59760,255.31516335700002
naive,knapsack,knapsack-20-5,147,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-5,148,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-5,149,square,-805.2601894927244,-805.2592994072003,0.0001105340260943097,1,18720,56.18388797
naive,knapsack,knapsack-10-2,15,sinabc3,-291.6999790407383,-291.6997239012118,8.74664957034943e-5,1,29880,115.41967440500001
naive,knapsack,knapsack-20-5,150,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-6,151,exp,-1247.5887728071514,-1247.5878625861874,7.295846579501802e-5,1,17020,79.377559866
naive,knapsack,knapsack-20-6,152,cubic,-602.904549041609,-602.9044283299658,2.0021687947591946e-5,1,19060,618.920711309
naive,knapsack,knapsack-20-6,153,sinabc1,-587.2017704142086,-587.2013710711227,6.800785991550644e-5,1,23460,70.90955319700001
naive,knapsack,knapsack-20-6,154,sinabc2,-582.6735257579486,-582.672922241271,0.00010357726515269565,1,33300,132.536126216
naive,knapsack,knapsack-20-6,155,sinabc3,-612.8310771270651,-612.8305328849476,8.880793111315219e-5,1,59760,365.108293354
naive,knapsack,knapsack-20-6,157,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-6,158,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-6,159,square,-575.6277863100605,-575.6271672254553,0.0001075495807796912,1,18720,55.360847639000006
naive,knapsack,knapsack-20-6,160,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-7,161,exp,-1116.2105793400701,-1116.20978291626,7.135072834919923e-5,1,17020,98.571219005
naive,knapsack,knapsack-20-7,162,cubic,-523.7865305213803,-523.786414011349,2.224380551790555e-5,1,19060,619.7316272080001
naive,knapsack,knapsack-20-7,163,sinabc1,-515.0795288793565,-515.0791727110569,6.914826273078988e-5,1,23460,75.875463165
naive,knapsack,knapsack-20-7,164,sinabc2,-504.62940163481255,-504.62888748514,0.00010188669045530677,1,33300,120.17863165000001
naive,knapsack,knapsack-20-7,165,sinabc3,-547.600528836651,-547.6000362841286,8.99474963179005e-5,1,59760,211.79028563300002
naive,knapsack,knapsack-20-7,167,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-7,168,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-7,169,square,-491.31056027760394,-491.31002116374896,0.00010972987151920333,1,18720,57.471651654000006
naive,knapsack,knapsack-10-2,17,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-7,170,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-8,171,exp,-1269.2841768943026,-1269.2831039343444,8.45327535629214e-5,1,17020,101.56826218100001
naive,knapsack,knapsack-20-8,172,cubic,-604.9428810940185,-604.9427513073687,2.145436895569337e-5,1,19060,518.2989638590001
naive,knapsack,knapsack-20-8,173,sinabc1,-592.3033075517164,-592.3030254809437,4.762271347948406e-5,1,23460,76.542216937
naive,knapsack,knapsack-20-8,174,sinabc2,-592.0452202778815,-592.0446159854988,0.0001020687236066153,1,33300,104.222721777
naive,knapsack,knapsack-20-8,175,sinabc3,-624.1827126804778,-624.1821867501291,8.425910894865813e-5,1,59759,268.832025859
naive,knapsack,knapsack-20-8,177,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-8,178,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-8,179,square,-578.8604547685322,-578.8598385997108,0.00010644525330287748,1,18720,55.03903638800001
naive,knapsack,knapsack-10-2,18,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-8,180,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-9,181,exp,-1355.413090816309,-1355.4121039776853,7.280727542619952e-5,1,17020,87.18032826700001
naive,knapsack,knapsack-20-9,182,cubic,-656.9283038861406,-656.9281691573532,2.050890702440299e-5,1,19060,572.6762352730001
naive,knapsack,knapsack-20-9,183,sinabc1,-644.9501230119166,-644.9497406978286,5.92781210540405e-5,1,23460,104.79456624400001
naive,knapsack,knapsack-20-9,184,sinabc2,-642.1903827246355,-642.1897139414833,0.00010414105639370205,1,33300,111.05761816900001
naive,knapsack,knapsack-20-9,185,sinabc3,-671.9520342934657,-671.9514366268036,8.894491915791498e-5,1,59760,260.933036316
naive,knapsack,knapsack-20-9,187,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-9,188,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-9,189,square,-634.3044615829223,-634.3037606259342,0.00011050809275043608,1,18720,51.279973005
naive,knapsack,knapsack-10-2,19,square,-284.84791671313184,-284.8476031889295,0.00011006734788373205,1,9360,32.842408431
naive,knapsack,knapsack-20-9,190,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-10,191,exp,-1698.706222943942,-1698.7051083858303,6.561221875958726e-5,1,17020,108.87640946
naive,knapsack,knapsack-20-10,192,cubic,-820.5419960728641,-820.5417915422822,2.4926284556924056e-5,1,19060,589.625656098
naive,knapsack,knapsack-20-10,193,sinabc1,-790.713230511036,-790.7127377657295,6.231660159918704e-5,1,23460,85.327099892
naive,knapsack,knapsack-20-10,194,sinabc2,-790.2026221769522,-790.2018004188935,0.00010399344297316654,1,33300,132.75212126300002
naive,knapsack,knapsack-20-10,195,sinabc3,-830.0143652891512,-830.0136353457227,8.79435466372707e-5,1,59759,246.72997327500002
naive,knapsack,knapsack-20-10,197,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-10,198,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-10,199,square,-782.0744534171004,-782.0735940059293,0.00010988878510288491,1,18720,49.954760085000004
naive,knapsack,knapsack-10-1,2,cubic,-410.88680626267285,-410.88671802572776,2.1474762073878453e-5,1,9530,280.61712587100004
naive,knapsack,knapsack-10-2,20,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-20-10,200,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-1,201,exp,-3395.600224135705,-3395.597353946445,8.452678456876515e-5,1,42550,203.31684542600001
naive,knapsack,knapsack-50-1,202,cubic,-1632.1860282528721,-1632.1856887494948,2.080053633790259e-5,1,47650,1516.607389153
naive,knapsack,knapsack-50-1,203,sinabc1,-1610.043301867833,-1610.0421934903006,6.884152084957795e-5,1,58650,181.009508027
naive,knapsack,knapsack-50-1,204,sinabc2,-1598.2683037049358,-1598.2666514909752,0.00010337536349491378,1,83250,323.10878984100003
naive,knapsack,knapsack-50-1,205,sinabc3,-1698.8695407034443,-1698.8680216235568,8.941718062232485e-5,1,149400,940.6682641560001
naive,knapsack,knapsack-50-1,207,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-1,208,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-1,209,square,-1571.7499369964066,-1571.7482058853877,0.00011013920756621999,1,46800,205.6908285
naive,knapsack,knapsack-10-3,21,exp,-476.30787014258334,-476.30750501253704,7.6658470098046e-5,1,8510,57.60886275
naive,knapsack,knapsack-50-1,210,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-2,211,exp,-3394.1399396491024,-3394.1372180328885,8.018580390373909e-5,1,42550,272.666302603
naive,knapsack,knapsack-50-2,212,cubic,-1669.426154206608,-1669.4258240238155,1.977822481500763e-5,1,47650,1452.0758177480002
naive,knapsack,knapsack-50-2,213,sinabc1,-1633.3148340079435,-1633.3138039070589,6.306815519631316e-5,1,58650,226.73538472200002
naive,knapsack,knapsack-50-2,214,sinabc2,-1629.0877876068064,-1629.086088596624,0.00010429222827970804,1,83250,335.589448112
naive,knapsack,knapsack-50-2,215,sinabc3,-1698.0230533434446,-1698.0215716413416,8.726049938576058e-5,1,149400,663.49122548
naive,knapsack,knapsack-50-2,217,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-2,218,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-2,219,square,-1620.9327730225768,-1620.9309885009125,0.00011009238993121799,1,46800,172.79514165700002
naive,knapsack,knapsack-10-3,22,cubic,-224.9351242417247,-224.9350775808331,2.074415964836821e-5,1,9530,285.415500785
naive,knapsack,knapsack-50-2,220,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-3,221,exp,-3205.1107410520335,-3205.108822916302,5.984619672951128e-5,1,42550,262.114674335
naive,knapsack,knapsack-50-3,222,cubic,-1573.1540472004017,-1573.1537300155144,2.0162358023643543e-5,1,47650,1368.154142408
naive,knapsack,knapsack-50-3,223,sinabc1,-1538.6808536030474,-1538.6802270188032,4.0722187311622824e-5,1,58650,190.05839180400002
naive,knapsack,knapsack-50-3,224,sinabc2,-1535.521399952114,-1535.5198037245134,0.00010395356652423631,1,83250,238.56209005300002
naive,knapsack,knapsack-50-3,225,sinabc3,-1597.3962177687904,-1597.3947854453572,8.966621440202046e-5,1,149400,693.786200775
naive,knapsack,knapsack-50-3,227,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-3,228,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-3,229,square,-1527.2663153778062,-1527.2646396687874,0.00010971962391653597,1,46800,131.714946897
naive,knapsack,knapsack-10-3,23,sinabc1,-219.04299961684322,-219.04285965604583,6.389653495372525e-5,1,11730,49.522810908000004
naive,knapsack,knapsack-50-3,230,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-4,231,exp,-3442.6366683616957,-3442.633960705354,7.86507183861226e-5,1,42550,227.05131488
naive,knapsack,knapsack-50-4,232,cubic,-1687.8315947535853,-1687.8312645944573,1.9561145413262616e-5,1,47650,1457.957666408
naive,knapsack,knapsack-50-4,233,sinabc1,-1655.138741443037,-1655.1379249006352,4.933379807347118e-5,1,58650,191.486817217
naive,knapsack,knapsack-50-4,234,sinabc2,-1646.1665778854085,-1646.1648659240886,0.00010399695409057015,1,83250,342.19712781600003
naive,knapsack,knapsack-50-4,235,sinabc3,-1719.7732415938785,-1719.7717018593999,8.953133006076563e-5,1,149400,701.0992380250001
naive,knapsack,knapsack-50-4,237,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-4,238,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-4,239,square,-1638.8585781882862,-1638.8567754094963,0.00011000221721030777,1,46800,181.121778844
naive,knapsack,knapsack-10-3,24,sinabc2,-220.35041398024353,-220.3501919753637,0.0001007509355114683,1,16650,75.038188211
naive,knapsack,knapsack-50-4,240,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-5,241,exp,-3907.691755051822,-3907.6886386633337,7.975017398821418e-5,1,42550,229.00625850100002
naive,knapsack,knapsack-50-5,242,cubic,-1888.2345044861286,-1888.23410137451,2.1348603881215547e-5,1,47650,1441.7405879720002
naive,knapsack,knapsack-50-5,243,sinabc1,-1840.460900548352,-1840.4596566088096,6.758852538955856e-5,1,58650,189.483525208
naive,knapsack,knapsack-50-5,244,sinabc2,-1822.3938116630047,-1822.3919265150241,0.00010344360909273075,1,83250,352.51295905800004
naive,knapsack,knapsack-50-5,245,sinabc3,-1934.299349866152,-1934.2976197662776,8.944331299456412e-5,1,149400,829.489927566
naive,knapsack,knapsack-50-5,247,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-5,248,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-5,249,square,-1804.9377907795824,-1804.9358119995375,0.00010963160195557056,1,46800,199.471473185
naive,knapsack,knapsack-10-3,25,sinabc3,-228.86341826902088,-228.8632144513991,8.905652324663204e-5,1,29880,112.56675424100001
naive,knapsack,knapsack-50-5,250,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-6,251,exp,-3667.854217471338,-3667.8515068063953,7.390334471465763e-5,1,42550,256.48328816500003
naive,knapsack,knapsack-50-6,252,cubic,-1761.176289282259,-1761.1759223702102,2.083335594787762e-5,1,47650,1494.1184942470002
naive,knapsack,knapsack-50-6,253,sinabc1,-1722.531800448034,-1722.5306159027332,6.876773566557928e-5,1,58650,189.406631766
naive,knapsack,knapsack-50-6,254,sinabc2,-1703.8115552075308,-1703.8097925771222,0.00010345229944679376,1,83250,327.610336061
naive,knapsack,knapsack-50-6,255,sinabc3,-1824.8916432772492,-1824.8900691095073,8.62609627018647e-5,1,149400,515.771216838
naive,knapsack,knapsack-50-6,257,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-6,258,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-6,259,square,-1682.0329813996455,-1682.0311311035812,0.00011000367532213008,1,46800,156.723283369
naive,knapsack,knapsack-50-6,260,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-7,261,exp,-2993.745471476901,-2993.7429406803217,8.453620198755745e-5,1,42550,226.922899198
naive,knapsack,knapsack-50-7,262,cubic,-1436.1878738302703,-1436.1875820589432,2.0315683738051736e-5,1,47650,1487.305608868
naive,knapsack,knapsack-50-7,263,sinabc1,-1414.0783723483653,-1414.0772326850351,8.059413614814812e-5,1,58650,164.13258551200002
naive,knapsack,knapsack-50-7,264,sinabc2,-1394.0075515357917,-1394.0060999592336,0.00010412985697504128,1,83250,334.766191374
naive,knapsack,knapsack-50-7,265,sinabc3,-1496.3399934147646,-1496.3386559975218,8.937931513921603e-5,1,149400,908.6050117330001
naive,knapsack,knapsack-50-7,267,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-7,268,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-7,269,square,-1377.4060919168783,-1377.404576273093,0.00011003620950625184,1,46800,171.263662078
naive,knapsack,knapsack-10-3,27,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-7,270,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-8,271,exp,-3292.137687297749,-3292.1352814017073,7.308010868291262e-5,1,42550,265.43088851600004
naive,knapsack,knapsack-50-8,272,cubic,-1592.974080948681,-1592.9737521161892,2.0642681104774163e-5,1,47650,1448.48662502
naive,knapsack,knapsack-50-8,273,sinabc1,-1567.5348943550446,-1567.533821707482,6.842899002682639e-5,1,58650,167.174091354
naive,knapsack,knapsack-50-8,274,sinabc2,-1552.9665074828574,-1552.9648876817316,0.00010430378295393691,1,83250,350.647073777
naive,knapsack,knapsack-50-8,275,sinabc3,-1643.8443431805435,-1643.8428787206037,8.908758609369224e-5,1,149400,793.1206980620001
naive,knapsack,knapsack-50-8,277,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-8,278,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-8,279,square,-1536.324502020697,-1536.3228118046359,0.00011001698654860321,1,46800,162.36470297
naive,knapsack,knapsack-10-3,28,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-8,280,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-9,281,exp,-3589.740910996439,-3589.7382185573824,7.500377166374188e-5,1,42550,224.779368494
naive,knapsack,knapsack-50-9,282,cubic,-1774.5147786890332,-1774.514432040068,1.953486311221527e-5,1,47650,1437.522557539
naive,knapsack,knapsack-50-9,283,sinabc1,-1748.5385461955832,-1748.53776469879,4.469430452286594e-5,1,58650,221.32678266300002
naive,knapsack,knapsack-50-9,284,sinabc2,-1745.2842753612822,-1745.2824640546635,0.00010378300682123987,1,83250,320.17523024400003
naive,knapsack,knapsack-50-9,285,sinabc3,-1806.087955217807,-1806.0863864793569,8.685843942882739e-5,1,149400,508.93173110500004
naive,knapsack,knapsack-50-9,287,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-9,288,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-9,289,square,-1739.1192192988922,-1739.1173062255286,0.00011000254880398562,1,46800,160.367648252
naive,knapsack,knapsack-10-3,29,square,-209.76195853392625,-209.76172783389296,0.00010998194745398704,1,9360,30.979253994
naive,knapsack,knapsack-50-9,290,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-10,291,exp,-4148.769007787924,-4148.765845014896,7.623406928195031e-5,1,42550,224.04107232
naive,knapsack,knapsack-50-10,292,cubic,-1966.4112728095722,-1966.410849039386,2.1550439798664645e-5,1,47650,1472.5390450680002
naive,knapsack,knapsack-50-10,293,sinabc1,-1941.9846055512553,-1941.9833600965042,6.413313196878111e-5,1,58650,226.460080892
naive,knapsack,knapsack-50-10,294,sinabc2,-1915.5516498337843,-1915.5496752101544,0.00010308391661167219,1,83250,351.87535766800005
naive,knapsack,knapsack-50-10,295,sinabc3,-2056.485797763146,-2056.4839580652074,8.94584142660856e-5,1,149400,694.130326509
naive,knapsack,knapsack-50-10,297,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-10,298,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-10,299,square,-1876.5438817507281,-1876.541817554623,0.00011000000563422738,1,46800,222.844048836
naive,knapsack,knapsack-10-1,3,sinabc1,-405.5694489438148,-405.569225258012,5.51535444134549e-5,1,11730,36.552336269
naive,knapsack,knapsack-10-3,30,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-50-10,300,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-100-1,301,exp,-6757.9856441551865,-6757.980259123649,7.968403769523232e-5,1,85100,544.330451401
naive,knapsack,knapsack-100-1,302,cubic,-3270.8790083297663,-3270.878327659241,2.081002277935997e-5,1,95300,2833.7326762440002
naive,knapsack,knapsack-100-1,303,sinabc1,-3198.1524424647214,-3198.150200692693,7.009589567963623e-5,1,117300,400.290694029
naive,knapsack,knapsack-100-1,304,sinabc2,-3178.4741760091265,-3178.4708602103365,0.00010432056595313015,1,166500,669.648293079
naive,knapsack,knapsack-100-1,305,sinabc3,-3376.06090073725,-3376.0578818915296,8.9419252452827e-5,1,298800,1844.4746734710002
naive,knapsack,knapsack-100-1,307,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-100-1,308,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-100-1,309,square,-3153.540491020401,-3153.5370217596396,0.00011001173404690242,1,93600,804.358179028
naive,knapsack,knapsack-10-4,31,exp,-774.3601438366246,-774.360140057173,4.880741430167296e-7,1,8510,54.692404354000004
naive,knapsack,knapsack-100-1,310,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-100-2,311,exp,-6563.051910246663,-6563.046373271836,8.436592570119582e-5,1,85100,509.51390783500005
naive,knapsack,knapsack-100-2,312,cubic,-3185.8179874423518,-3185.817321987425,2.088804408071168e-5,1,95300,2854.067588206
naive,knapsack,knapsack-100-2,313,sinabc1,-3101.0644362964604,-3101.0623632275165,6.685028229303251e-5,1,117300,363.94628152
naive,knapsack,knapsack-100-2,314,sinabc2,-3092.1605300952897,-3092.157310377252,0.00010412529876127101,1,166500,736.049679089
naive,knapsack,knapsack-100-2,315,sinabc3,-3266.7384403957394,-3266.735547362152,8.856038530065811e-5,1,298798,1814.4075395260002
naive,knapsack,knapsack-100-2,317,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-100-2,318,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-100-2,319,square,-3065.313629515252,-3065.3102576738274,0.00011000000460906143,1,93600,529.105932785
naive,knapsack,knapsack-10-4,32,cubic,-389.08872334796314,-389.08865190898166,1.8360592406994408e-5,1,9530,268.765892576
naive,knapsack,knapsack-100-2,320,log,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-100-3,321,exp,-6905.732412884695,-6905.72746029578,7.171712095220742e-5,1,85100,424.443570431
naive,knapsack,knapsack-100-3,322,cubic,-3385.090805825414,-3385.090126125427,2.0079228663901316e-5,1,95300,2844.3571560080004
naive,knapsack,knapsack-100-3,323,sinabc1,-3315.4007699302174,-3315.398810743221,5.9093554296537955e-5,1,117300,348.25645283100005
naive,knapsack,knapsack-100-3,324,sinabc2,-3303.2510903105376,-3303.2476377867256,0.00010451907306419309,1,166500,748.8121776940001
naive,knapsack,knapsack-100-3,325,sinabc3,-3451.9194230861704,-3451.9163313456643,8.956591670557149e-5,1,298800,1584.42344858
naive,knapsack,knapsack-100-3,327,divexp,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-100-3,328,sqrt,-1E+20,1E+20,100.0,0,1E+20,3600.01
naive,knapsack,knapsack-100-3,329,square,-3282.697971717728,-3282.6943598573826,0.00011002731138825837,1,93600,531.462570411
