
Note: the module "julia" cannot be unloaded because it was not loaded.

2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance uflp nldep gunluk ../../../../../instances/uflp/gunluk/gunluk-30-60-9.txt pardivexp
The latest version of Julia in the `1.10` channel is 1.10.6+0.x64.linux.gnu. You currently have `1.10.5+0.x64.linux.gnu` installed. Run:

  juliaup update

in your terminal shell to install Julia 1.10.6+0.x64.linux.gnu and update the `1.10` channel to that version.
presolving:
(round 1, fast)       30 del vars, 30 del conss, 0 add conss, 30 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, exhaustive) 30 del vars, 30 del conss, 0 add conss, 30 chg bounds, 0 chg sides, 0 chg coeffs, 1800 upgd conss, 0 impls, 0 clqs
   (0.1s) probing cycle finished: starting next cycle
   (0.1s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.1s) no symmetry present (symcode time: 0.00)
presolving (3 rounds: 3 fast, 2 medium, 2 exhaustive):
 30 deleted vars, 30 deleted constraints, 0 added constraints, 30 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 1800 implications, 0 cliques
presolved problem has 1860 variables (30 bin, 0 int, 0 impl, 1830 cont) and 1890 constraints
   1800 constraints of type <varbound>
     60 constraints of type <linear>
     30 constraints of type <nonlinear>
Presolving Time: 0.07

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.1s|     1 |     0 |   266 |     - |shiftand|   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 |-1.144409e-04 | 1.260101e+03 |    Inf | unknown
t 0.1s|     1 |     0 |   266 |     - |  trysol|   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 |-1.144409e-04 | 2.575704e+02 |    Inf | unknown
  0.1s|     1 |     0 |   535 |     - |    21M |   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 | 2.562535e+02 | 2.575704e+02 |   0.51%| unknown
L 2.3s|     1 |     0 |   535 |     - |  subnlp|   0 |1980 |1890 |2100 |   0 |  0 |   0 |   0 | 2.562535e+02 | 2.573795e+02 |   0.44%| unknown
  2.3s|     1 |     0 |   565 |     - |    21M |   0 |1980 |1890 |2129 |  29 |  1 |   0 |   0 | 2.562551e+02 | 2.573795e+02 |   0.44%| unknown
  2.3s|     1 |     0 |   620 |     - |    21M |   0 |1980 |1890 |2158 |  58 |  2 |   0 |   0 | 2.562956e+02 | 2.573795e+02 |   0.42%| unknown
  2.3s|     1 |     0 |   635 |     - |    21M |   0 |1980 |1890 |2171 |  71 |  3 |   0 |   0 | 2.562991e+02 | 2.573795e+02 |   0.42%| unknown
  4.5s|     1 |     0 |  5689 |     - |    71M |   0 |1980 | 450 |2171 |  71 |  4 |   0 |   0 | 2.566275e+02 | 2.573795e+02 |   0.29%| unknown
  4.5s|     1 |     0 |  5774 |     - |    71M |   0 |1980 | 450 |2197 |  97 |  5 |   0 |   0 | 2.568671e+02 | 2.573795e+02 |   0.20%| unknown
  4.5s|     1 |     0 |  5787 |     - |    71M |   0 |1980 | 450 |2210 | 110 |  6 |   0 |   0 | 2.568782e+02 | 2.573795e+02 |   0.20%| unknown
  4.8s|     1 |     0 |  6033 |     - |    76M |   0 |1980 | 450 |2210 | 110 |  7 |   0 |   0 | 2.568861e+02 | 2.573795e+02 |   0.19%| unknown
  4.8s|     1 |     0 |  6062 |     - |    76M |   0 |1980 | 450 |2233 | 133 |  8 |   0 |   0 | 2.569989e+02 | 2.573795e+02 |   0.15%| unknown
  4.8s|     1 |     0 |  6074 |     - |    76M |   0 |1980 | 450 |2245 | 145 |  9 |   0 |   0 | 2.570091e+02 | 2.573795e+02 |   0.14%| unknown
(run 1, node 1) restarting after 24 global fixings of integer variables

presolving:
(round 1, fast)       144 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 351 chg coeffs, 0 upgd conss, 1800 impls, 0 clqs
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 144 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 1800 implications, 0 cliques
presolved problem has 1836 variables (6 bin, 0 int, 0 impl, 1830 cont) and 450 constraints
    360 constraints of type <varbound>
     60 constraints of type <linear>
     30 constraints of type <nonlinear>
Presolving Time: 0.10
transformed 3/4 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  6.8s|     1 |     0 |  6293 |     - |    39M |   0 |1956 | 450 | 660 |   0 |  0 |   0 |   0 | 2.570091e+02 | 2.573795e+02 |   0.14%| unknown
  8.9s|     1 |     0 |  6336 |     - |    39M |   0 |1956 | 450 | 687 |  27 |  1 |   0 |   0 | 2.570091e+02 | 2.573795e+02 |   0.14%| unknown
  8.9s|     1 |     0 |  6349 |     - |    40M |   0 |1956 | 450 | 698 |  38 |  2 |   0 |   0 | 2.570141e+02 | 2.573795e+02 |   0.14%| unknown
 10.1s|     1 |     0 | 12049 |     - |    86M |   0 |1956 | 390 | 698 |  38 |  3 |   0 |   0 | 2.570355e+02 | 2.573795e+02 |   0.13%| unknown
 10.1s|     1 |     0 | 12103 |     - |    86M |   0 |1956 | 390 | 724 |  64 |  4 |   0 |   0 | 2.572781e+02 | 2.573795e+02 |   0.04%| unknown
 10.1s|     1 |     0 | 12118 |     - |    86M |   0 |1956 | 390 | 739 |  79 |  5 |   0 |   0 | 2.572855e+02 | 2.573795e+02 |   0.04%| unknown
 12.1s|     1 |     2 | 12127 |     - |    87M |   0 |1956 | 390 | 739 |  79 |  6 |   0 |   3 | 2.572855e+02 | 2.573795e+02 |   0.04%| unknown
d20.2s|    61 |    58 | 12184 | 184.5 |nlpdivin|  49 |1956 | 270 | 577 | 148 |  1 |   0 |   4 | 2.573531e+02 | 2.573795e+02 |   0.01%|  69.12%
  131s|  3200 |    95 | 13188 |   3.8 |   118M | 251 |1956 | 210 | 587 | 830 |  0 |   0 |   4 | 2.573686e+02 | 2.573795e+02 |   0.00%|  99.55%
  133s|  3300 |    89 | 13255 |   3.7 |   118M | 251 |1956 | 210 | 601 | 870 |  0 |   0 |   4 | 2.573687e+02 | 2.573795e+02 |   0.00%|  99.59%
  134s|  3400 |    87 | 13321 |   3.6 |   118M | 251 |1956 | 210 | 603 | 906 |  2 |   0 |   4 | 2.573687e+02 | 2.573795e+02 |   0.00%|  99.67%
  135s|  3500 |    89 | 13359 |   3.6 |   118M | 266 |1956 | 210 | 599 | 929 |  2 |   0 |   4 | 2.573687e+02 | 2.573795e+02 |   0.00%|  99.67%
  136s|  3600 |    85 | 13402 |   3.5 |   118M | 278 |1956 | 210 | 618 | 952 |  0 |   0 |   4 | 2.573692e+02 | 2.573795e+02 |   0.00%|  99.67%
  137s|  3700 |    85 | 13454 |   3.4 |   118M | 307 |1956 | 210 | 601 | 979 |  1 |   0 |   4 | 2.573692e+02 | 2.573795e+02 |   0.00%|  99.67%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  138s|  3800 |    81 | 13494 |   3.3 |   118M | 307 |1956 | 210 | 599 |1002 |  0 |   0 |   4 | 2.573733e+02 | 2.573795e+02 |   0.00%|  99.74%
  139s|  3900 |    81 | 13547 |   3.2 |   118M | 307 |1956 | 210 | 596 |1033 |  0 |   0 |   4 | 2.573733e+02 | 2.573795e+02 |   0.00%|  99.76%
  140s|  4000 |    81 | 13568 |   3.2 |   118M | 307 |1956 | 210 | 596 |1046 |  1 |   0 |   4 | 2.573746e+02 | 2.573795e+02 |   0.00%|  99.77%
  150s|  4100 |    79 | 13616 |   3.1 |   118M | 307 |1956 | 210 | 609 |1073 |  0 |   0 |   4 | 2.573746e+02 | 2.573795e+02 |   0.00%|  99.77%
  151s|  4200 |    77 | 13631 |   3.0 |   118M | 352 |1956 | 210 | 639 |1083 |  0 |   0 |   4 | 2.573750e+02 | 2.573795e+02 |   0.00%|  99.79%
  152s|  4300 |    81 | 13654 |   3.0 |   118M | 376 |1956 | 210 | 601 |1096 |  1 |   0 |   4 | 2.573750e+02 | 2.573795e+02 |   0.00%|  99.79%
  153s|  4400 |    79 | 13705 |   2.9 |   118M | 376 |1956 | 210 | 603 |1125 |  2 |   0 |   4 | 2.573750e+02 | 2.573795e+02 |   0.00%|  99.82%
  154s|  4500 |    77 | 13769 |   2.9 |   118M | 376 |1956 | 210 | 603 |1160 |  1 |   0 |   4 | 2.573750e+02 | 2.573795e+02 |   0.00%|  99.82%
  155s|  4600 |    75 | 13814 |   2.8 |   118M | 376 |1956 | 210 | 597 |1185 |  0 |   0 |   4 | 2.573750e+02 | 2.573795e+02 |   0.00%|  99.82%
  156s|  4700 |    69 | 13897 |   2.8 |   118M | 376 |1956 | 210 | 604 |1234 |  0 |   0 |   4 | 2.573756e+02 | 2.573795e+02 |   0.00%|  99.83%
  156s|  4800 |    65 | 13978 |   2.7 |   118M | 376 |1956 | 210 | 603 |1279 |  0 |   0 |   4 | 2.573757e+02 | 2.573795e+02 |   0.00%|  99.84%
  159s|  4900 |    67 | 14007 |   2.7 |   118M | 417 |1956 | 210 | 648 |1298 |  0 |   0 |   4 | 2.573757e+02 | 2.573795e+02 |   0.00%|  99.84%
  160s|  5000 |    67 | 14051 |   2.6 |   118M | 419 |1956 | 210 | 647 |1325 |  0 |   0 |   4 | 2.573757e+02 | 2.573795e+02 |   0.00%|  99.84%
  161s|  5100 |    61 | 14109 |   2.6 |   118M | 425 |1956 | 210 | 646 |1355 |  0 |   0 |   4 | 2.573759e+02 | 2.573795e+02 |   0.00%|  99.85%
  162s|  5200 |    63 | 14114 |   2.5 |   118M | 447 |1956 | 210 | 651 |1360 |  0 |   0 |   4 | 2.573759e+02 | 2.573795e+02 |   0.00%|  99.85%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  163s|  5300 |    65 | 14118 |   2.5 |   118M | 497 |1956 | 210 | 655 |1364 |  2 |   0 |   4 | 2.573759e+02 | 2.573795e+02 |   0.00%|  99.85%
  164s|  5400 |    67 | 14152 |   2.4 |   118M | 529 |1956 | 210 | 660 |1385 |  1 |   0 |   4 | 2.573765e+02 | 2.573795e+02 |   0.00%|  99.89%
  166s|  5500 |    67 | 14161 |   2.4 |   118M | 563 |1956 | 210 | 660 |1391 |  0 |   0 |   4 | 2.573765e+02 | 2.573795e+02 |   0.00%|  99.89%
  167s|  5600 |    67 | 14186 |   2.4 |   118M | 565 |1956 | 210 | 590 |1404 |  0 |   0 |   4 | 2.573765e+02 | 2.573795e+02 |   0.00%|  99.89%
  167s|  5700 |    61 | 14240 |   2.3 |   118M | 589 |1956 | 210 | 670 |1440 |  0 |   0 |   4 | 2.573765e+02 | 2.573795e+02 |   0.00%|  99.91%
  170s|  5800 |    61 | 14247 |   2.3 |   118M | 638 |1956 | 210 | 600 |1444 |  0 |   0 |   4 | 2.573765e+02 | 2.573795e+02 |   0.00%|  99.91%
  171s|  5900 |    55 | 14298 |   2.3 |   118M | 667 |1956 | 210 | 679 |1472 |  1 |   0 |   4 | 2.573771e+02 | 2.573795e+02 |   0.00%|  99.92%
  172s|  6000 |    55 | 14305 |   2.2 |   118M | 718 |1956 | 210 | 672 |1476 |  0 |   0 |   4 | 2.573771e+02 | 2.573795e+02 |   0.00%|  99.92%
  173s|  6100 |    51 | 14347 |   2.2 |   118M | 718 |1956 | 210 | 663 |1497 |  1 |   0 |   4 | 2.573773e+02 | 2.573795e+02 |   0.00%|  99.94%
  174s|  6200 |    49 | 14374 |   2.2 |   118M | 718 |1956 | 210 | 677 |1512 |  0 |   0 |   4 | 2.573773e+02 | 2.573795e+02 |   0.00%|  99.94%
  175s|  6300 |    51 | 14393 |   2.1 |   119M | 718 |1956 | 210 | 687 |1522 |  0 |   0 |   4 | 2.573773e+02 | 2.573795e+02 |   0.00%|  99.94%
  176s|  6400 |    51 | 14397 |   2.1 |   119M | 757 |1956 | 210 | 690 |1525 |  0 |   0 |   4 | 2.573773e+02 | 2.573795e+02 |   0.00%|  99.94%
  178s|  6500 |    53 | 14399 |   2.1 |   119M | 781 |1956 | 210 | 661 |1527 |  0 |   0 |   4 | 2.573773e+02 | 2.573795e+02 |   0.00%|  99.94%
  179s|  6600 |    53 | 14407 |   2.0 |   119M | 781 |1956 | 210 | 667 |1533 |  0 |   0 |   4 | 2.573773e+02 | 2.573795e+02 |   0.00%|  99.94%
  180s|  6700 |    53 | 14447 |   2.0 |   119M | 781 |1956 | 210 | 614 |1554 |  0 |   0 |   4 | 2.573775e+02 | 2.573795e+02 |   0.00%|  99.94%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  183s|  6800 |    51 | 14473 |   2.0 |   119M | 817 |1956 | 210 | 699 |1569 |  0 |   0 |   4 | 2.573775e+02 | 2.573795e+02 |   0.00%|  99.94%
  184s|  6900 |    53 | 14495 |   2.0 |   119M | 839 |1956 | 210 | 652 |1580 |  1 |   0 |   4 | 2.573775e+02 | 2.573795e+02 |   0.00%|  99.94%
  185s|  7000 |    53 | 14513 |   1.9 |   119M | 839 |1956 | 210 | 662 |1590 |  1 |   0 |   4 | 2.573775e+02 | 2.573795e+02 |   0.00%|  99.94%
  186s|  7100 |    51 | 14549 |   1.9 |   119M | 839 |1956 | 210 | 705 |1610 |  2 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.95%
  187s|  7200 |    53 | 14576 |   1.9 |   119M | 885 |1956 | 210 | 722 |1627 |  1 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.95%
  196s|  7300 |    51 | 14630 |   1.9 |   119M | 908 |1956 | 210 | 687 |1655 |  1 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.96%
  197s|  7400 |    51 | 14653 |   1.9 |   119M | 908 |1956 | 210 | 701 |1669 |  2 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.96%
  198s|  7500 |    51 | 14663 |   1.8 |   119M | 908 |1956 | 210 | 669 |1674 |  0 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.96%
  199s|  7600 |    55 | 14703 |   1.8 |   119M | 908 |1956 | 210 | 692 |1697 |  0 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.96%
  200s|  7700 |    51 | 14766 |   1.8 |   119M | 916 |1956 | 210 | 729 |1730 |  1 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.96%
  201s|  7800 |    51 | 14790 |   1.8 |   119M | 967 |1956 | 210 | 741 |1742 |  0 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.96%
  204s|  7900 |    41 | 14859 |   1.8 |   119M | 978 |1956 | 210 | 732 |1775 |  1 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.97%
  205s|  8000 |    45 | 14905 |   1.7 |   119M | 983 |1956 | 210 | 760 |1803 |  1 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.97%
  206s|  8100 |    39 | 14944 |   1.7 |   119M |1023 |1956 | 210 | 668 |1826 |  1 |   0 |   4 | 2.573776e+02 | 2.573795e+02 |   0.00%|  99.97%
