solving instance mcf arcs c64 3 6 cubic
Couenne 0.5.8 -- an Open-Source solver for Mixed Integer Nonlinear Optimization
Mailing list: couenne@list.coin-or.org
Instructions: http://www.coin-or.org/Couenne
couenne: 
ANALYSIS TEST: Reading problem: 0.1 seconds
Reformulating problem: 975.0 seconds
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1        TIME 0       74 1316.0638
Loaded instance "/tmp/jl_poUlos/model.nl"
Constraints:        14109
Variables:         275309 (713 integer)
Auxiliaries:         1767 (0 integer)

Coin0506I Presolve 20910 (-30) rows, 276616 (-460) columns and 1112608 (-90) elements
Clp0030I 0 infeas 71728, obj 0 - mu 1000, its 0, 684 interior
Clp0030I 1 infeas 91430.879, obj -0.23043408 - mu 2.3263051, its 2, 5839 interior
Clp0030I 1 infeas 90762.033, obj -0.15972687 - mu 1.6284136, its 2, 5663 interior
Clp0030I 1 infeas 91121.693, obj -0.1236497 - mu 1.1398895, its 2, 5403 interior
Clp0030I 1 infeas 90754.889, obj -0.07425086 - mu 0.79792266, its 2, 5482 interior
Clp0030I 1 infeas 90730.231, obj -0.034553245 - mu 0.55854586, its 2, 5512 interior
Clp0030I 1 infeas 90561.957, obj -0.0176917 - mu 0.3909821, its 2, 5463 interior
Clp0030I 1 infeas 90891.869, obj -0.00043334347 - mu 0.27368747, its 2, 5475 interior
Clp0030I 1 infeas 90799.079, obj 0.008316838 - mu 0.19158123, its 2, 5438 interior
Clp0030I 1 infeas 90491.574, obj 0.0070573307 - mu 0.13410686, its 2, 5410 interior
Clp0030I 1 infeas 90931.346, obj 0.019955066 - mu 0.093874803, its 2, 5470 interior
Clp0030I 1 infeas 90949.847, obj 0.023177538 - mu 0.065712362, its 2, 5465 interior
Clp0030I 1 infeas 91044.824, obj 0.026292466 - mu 0.045998654, its 2, 5495 interior
Clp0030I 1 infeas 90832.004, obj 0.025789892 - mu 0.032199058, its 2, 5439 interior
Clp0030I 1 infeas 90508.815, obj 0.024038779 - mu 0.02253934, its 2, 5422 interior
Clp0030I 1 infeas 91050.998, obj 0.00027492162 - mu 0.015777538, its 2, 5234 interior
Clp0030I 1 infeas 91227.26, obj 0.031365108 - mu 0.011044277, its 2, 5420 interior
Clp0030I 1 infeas 90615.986, obj 0.027335527 - mu 0.0077309937, its 2, 5442 interior
Clp0030I 1 infeas 90662.156, obj 0.01213955 - mu 0.0054116956, its 2, 5268 interior
Clp0030I 1 infeas 91161.023, obj 0.032084253 - mu 0.0037881869, its 2, 5496 interior
Clp0030I 1 infeas 90603.238, obj 0.02548573 - mu 0.0026517308, its 2, 5451 interior
Clp0030I 1 infeas 91344.941, obj 0.00099219978 - mu 0.0018562116, its 2, 5230 interior
Clp0030I 1 infeas 90651.631, obj 0.01449124 - mu 0.0012993481, its 2, 5324 interior
Clp0030I 1 infeas 91548.293, obj 0.032815449 - mu 0.00090954368, its 2, 5347 interior
Clp0030I 1 infeas 91043.073, obj 0.031879471 - mu 0.00063668058, its 2, 5485 interior
Clp0030I 1 infeas 90798.166, obj 0.0070566918 - mu 0.0004456764, its 2, 5219 interior
Clp0030I 1 infeas 91058.228, obj 0.032160971 - mu 0.00031197348, its 2, 5483 interior
Clp0030I 1 infeas 91049.715, obj 0.032417103 - mu 0.00021838144, its 2, 5533 interior
Clp0030I 1 infeas 90473.258, obj 0.020328826 - mu 0.00015286701, its 2, 5375 interior
Clp0030I 1 infeas 90686.644, obj 0.012762109 - mu 0.0001070069, its 2, 5266 interior
Clp0030I 1 infeas 91276.713, obj 0.032678502 - mu 7.4904833e-05, its 2, 5371 interior
Clp0030I 1 infeas 90549.61, obj 0.017313002 - mu 5.2433383e-05, its 2, 5367 interior
Clp0030I 1 infeas 90634.798, obj 0.027033654 - mu 3.6703368e-05, its 2, 5418 interior
Clp0030I 1 infeas 91471.061, obj 0.032793708 - mu 2.5692358e-05, its 2, 5356 interior
Clp0030I 1 infeas 90901.138, obj 0.029955754 - mu 1.798465e-05, its 2, 5400 interior
Clp0030I 1 infeas 91226.604, obj 0.032573711 - mu 1.2589255e-05, its 2, 5448 interior
Clp0030I 1 infeas 90755.122, obj 0.010739214 - mu 8.8124787e-06, its 2, 5224 interior
Clp0030I 1 infeas 91482.743, obj 0.032778439 - mu 6.1687351e-06, its 2, 5360 interior
Clp0030I 1 infeas 90572.81, obj 0.026616991 - mu 4.3181146e-06, its 2, 5416 interior
Clp0030I 1 infeas 91019.77, obj 0.031495592 - mu 3.0226802e-06, its 2, 5491 interior
Clp0030I 1 infeas 91108.062, obj 0.0022646001 - mu 2.1158761e-06, its 2, 5224 interior
Clp0030I 1 infeas 91047.373, obj 0.032179512 - mu 1.4811133e-06, its 2, 5506 interior
Clp0030I 1 infeas 90609.813, obj 0.02425753 - mu 1.0367793e-06, its 2, 5443 interior
Clp0030I 1 infeas 90821.51, obj 0.029700486 - mu 7.2574552e-07, its 2, 5406 interior
Clp0030I 1 infeas 90788.804, obj 0.029449367 - mu 5.0802186e-07, its 2, 5419 interior
Clp0030I 1 infeas 91070.727, obj 0.0019548311 - mu 3.556153e-07, its 2, 5214 interior
Clp0030I 1 infeas 90502.573, obj 0.02641444 - mu 2.4893071e-07, its 2, 5416 interior
Clp0030I 1 infeas 90497.618, obj 0.02580491 - mu 1.742515e-07, its 2, 5437 interior
Clp0030I 1 infeas 90573.309, obj 0.013492114 - mu 1.2197605e-07, its 2, 5276 interior
Clp0030I 1 infeas 90980.665, obj 0.0045650117 - mu 8.5383234e-08, its 2, 5254 interior
Clp0030I 1 infeas 90867.245, obj 0.030416971 - mu 5.9768264e-08, its 2, 5404 interior
Clp0030I 1 infeas 90870.703, obj 0.030403992 - mu 4.1837785e-08, its 2, 5422 interior
Clp0030I 1 infeas 90906.998, obj 0.030758241 - mu 2.9286449e-08, its 2, 5447 interior
Clp0030I 1 infeas 90820.641, obj 0.029588394 - mu 2.0500515e-08, its 2, 5423 interior
Clp0030I 1 infeas 90719.941, obj 0.010738676 - mu 1.435036e-08, its 2, 5243 interior
Clp0030I 1 infeas 91135.436, obj 0.032507536 - mu 1.0045252e-08, its 2, 5505 interior
Clp0030I 1 infeas 90754.787, obj 0.02868506 - mu 7.0316765e-09, its 2, 5426 interior
Clp0030I 1 infeas 91055.941, obj 0.032441948 - mu 4.9221735e-09, its 2, 5534 interior
Clp0030I 1 infeas 91236.682, obj 0.0018342463 - mu 3.4455215e-09, its 2, 5261 interior
Clp0030I 1 infeas 90777.104, obj 0.029569571 - mu 2.411865e-09, its 2, 5425 interior
Clp0030I 1 infeas 91046.89, obj 0.032178973 - mu 1.6883055e-09, its 2, 5503 interior
Clp0030I 1 infeas 90630.408, obj 0.027934466 - mu 1.1818139e-09, its 2, 5436 interior
Clp0030I 1 infeas 90864.636, obj 0.030407723 - mu 8.2726971e-10, its 2, 5418 interior
Clp0030I 1 infeas 90462.873, obj 0.020197382 - mu 5.7908879e-10, its 2, 5373 interior
Clp0030I 1 infeas 90571.537, obj 0.014190794 - mu 4.0536216e-10, its 2, 5310 interior
Clp0030I 1 infeas 91192.452, obj 0.032570388 - mu 2.8375351e-10, its 2, 5441 interior
Clp0030I 1 infeas 90873.789, obj 0.030392973 - mu 1.9862746e-10, its 2, 5414 interior
Clp0030I 1 infeas 90688.253, obj 0.012689166 - mu 1.3903922e-10, its 2, 5263 interior
Clp0030I 1 infeas 91130.828, obj 0.032549644 - mu 9.7327454e-11, its 2, 5453 interior
Clp0030I 1 infeas 90628.698, obj 0.027932308 - mu 6.8129218e-11, its 2, 5442 interior
Clp0030I 1 infeas 91115.613, obj 0.0016527512 - mu 4.7690452e-11, its 2, 5227 interior
Clp0030I 1 infeas 90898.733, obj 0.030553909 - mu 3.3383317e-11, its 2, 5438 interior
Clp0030I 1 infeas 90926.26, obj 0.030765474 - mu 2.3368322e-11, its 2, 5456 interior
Clp0030I 1 infeas 90519.081, obj 0.016516757 - mu 1.6357825e-11, its 2, 5375 interior
Clp0030I 1 infeas 90574.797, obj 0.013723536 - mu 1.1450478e-11, its 2, 5297 interior
Clp0030I 1 infeas 91075.252, obj 0.03245345 - mu 8.0153343e-12, its 2, 5544 interior
Clp0030I 1 inf
